student_id,course_id,total_login_days,avg_session_time_min,total_study_time_min,last_login_days_ago,device_type
S2095,C24,39,13,5048,13,Mobile
S2096,C6,10,11,4028,34,Desktop
S2097,C28,60,77,2229,11,Mobile
S2098,C27,52,47,870,37,Desktop
S2099,C7,87,36,2515,49,Desktop
S2100,C10,82,29,1542,14,Mobile
S2101,C7,94,64,5952,6,Tablet
S2102,C10,50,72,2229,38,Mobile
S2103,C10,67,24,2036,36,Tablet
S2104,C24,4,26,2533,29,Tablet
S2105,C24,53,41,4113,25,Tablet
S2106,C1,56,47,1869,24,Desktop
S2107,C29,37,65,1921,4,Mobile
S2108,C12,64,71,3061,45,Desktop
S2109,C18,100,43,3452,3,Tablet
S2110,C23,59,87,1842,26,Desktop
S2111,C8,91,84,5035,57,Mobile
S2112,C10,67,86,657,19,Desktop
S2113,C20,96,18,900,60,Tablet
S2114,C3,3,66,4056,57,Desktop
S2115,C13,96,52,1313,31,Desktop
S2116,C14,59,90,5136,49,Tablet
S2117,C28,31,39,541,55,Mobile
S2118,C20,86,31,3375,26,Tablet
S2119,C11,34,39,5172,23,Tablet
S2120,C14,18,69,5038,32,Tablet
S2121,C21,10,60,4204,33,Tablet
S2122,C20,86,38,3792,21,Tablet
S2123,C11,17,89,3928,13,Tablet
S2124,C30,71,63,3013,31,Mobile
S2125,C14,40,82,4701,18,Desktop
S2126,C11,61,38,5581,3,Desktop
S2127,C20,38,64,2875,41,Mobile
S2128,C29,14,66,5289,49,Mobile
S2129,C16,18,63,5665,39,Mobile
S2130,C20,76,64,5479,16,Tablet
S2131,C11,95,15,2655,6,Desktop
S2132,C14,18,30,1781,56,Tablet
S2133,C7,97,57,5603,22,Desktop
S2134,C11,49,74,5163,4,Desktop
S2135,C26,43,20,939,8,Tablet
S2136,C16,94,21,3417,6,Tablet
S2137,C5,47,69,534,39,Desktop
S2138,C1,36,23,5145,59,Tablet
S2139,C5,25,39,1742,7,Tablet
S2140,C11,59,68,2099,38,Desktop
S2141,C7,75,43,2208,14,Desktop
S2142,C4,28,86,3235,27,Desktop
S2143,C28,73,47,506,14,Mobile
S2144,C22,19,16,4589,16,Tablet
S2145,C14,26,71,5250,48,Desktop
S2146,C13,84,15,1049,34,Desktop
S2147,C17,97,40,3982,9,Desktop
S2148,C25,34,51,5714,6,Mobile
S2149,C5,9,45,4672,24,Desktop
S2150,C3,73,65,4426,15,Tablet
S2151,C1,17,59,1277,34,Tablet
S2152,C3,19,90,5923,40,Mobile
S2153,C8,60,40,1180,45,Desktop
S2154,C14,95,71,2726,28,Tablet
S2155,C22,86,59,2899,23,Mobile
S2156,C20,93,67,1024,40,Desktop
S2157,C26,89,43,3628,37,Mobile
S2158,C29,80,16,3658,8,Mobile
S2159,C25,25,60,1453,15,Tablet
S2160,C30,30,31,5965,31,Desktop
S2161,C13,85,13,3025,60,Desktop
S2162,C30,69,86,2315,25,Tablet
S2163,C12,29,23,5147,24,Tablet
S2164,C12,25,75,4004,52,Mobile
S2165,C24,38,62,1377,14,Desktop
S2166,C19,58,24,5247,32,Desktop
S2167,C6,68,10,2430,47,Tablet
S2168,C6,38,27,360,30,Tablet
S2169,C13,82,48,2481,23,Mobile
S2170,C9,72,12,2034,28,Tablet
S2171,C4,21,34,2102,55,Mobile
S2172,C14,48,21,2551,14,Mobile
S2173,C19,5,18,1831,44,Tablet
S2174,C14,86,52,3017,16,Tablet
S2175,C2,38,68,1118,31,Mobile
S2176,C16,74,32,4586,39,Tablet
S2177,C19,78,63,5234,18,Mobile
S2178,C12,66,72,1327,16,Desktop
S2179,C2,9,50,3484,20,Mobile
S2180,C23,10,35,5934,32,Desktop
S2181,C16,71,69,420,12,Tablet
S2182,C26,70,24,3056,2,Desktop
S2183,C16,47,76,5882,45,Tablet
S2184,C20,98,29,5694,45,Mobile
S2185,C25,45,86,3628,4,Desktop
S2186,C8,10,81,5546,47,Mobile
S2187,C13,68,53,251,44,Mobile
S2188,C13,24,14,5021,1,Tablet
S2189,C4,16,14,4374,9,Desktop
S2190,C4,85,67,5385,3,Mobile
S2191,C28,85,15,4444,3,Mobile
S2192,C11,20,76,5409,22,Mobile
S2193,C23,8,86,5477,33,Mobile
S2194,C13,31,11,1389,10,Mobile
S2195,C1,92,50,3232,47,Desktop
S2196,C27,15,65,1543,44,Tablet
S2197,C2,53,56,4180,47,Desktop
S2198,C16,93,72,1016,47,Mobile
S2199,C4,73,45,1169,47,Tablet
S2200,C19,100,86,1292,13,Desktop
S2201,C29,4,53,1170,50,Desktop
S2202,C21,84,27,1493,38,Mobile
S2203,C10,48,79,4110,25,Mobile
S2204,C30,38,31,1619,19,Desktop
S2205,C30,36,18,538,27,Tablet
S2206,C20,14,70,5623,8,Desktop
S2207,C13,65,66,5440,49,Tablet
S2208,C27,76,14,3533,37,Desktop
S2209,C27,30,76,3707,13,Tablet
S2210,C13,72,80,2787,39,Mobile
S2211,C30,74,75,5748,8,Mobile
S2212,C25,98,73,1496,5,Tablet
S2213,C18,95,69,1719,41,Tablet
S2214,C22,33,35,2600,55,Mobile
S2215,C19,59,51,4688,51,Desktop
S2216,C17,90,86,1871,50,Desktop
S2217,C3,64,87,4051,60,Desktop
S2218,C25,19,45,5036,10,Tablet
S2219,C14,69,52,3897,5,Mobile
S2220,C18,65,85,408,48,Desktop
S2221,C4,62,79,4422,58,Desktop
S2222,C19,86,52,5806,1,Tablet
S2223,C16,23,80,3345,16,Tablet
S2224,C27,88,20,3974,22,Tablet
S2225,C19,72,23,4431,14,Desktop
S2226,C11,92,67,1699,43,Tablet
S2227,C21,98,52,1972,10,Mobile
S2228,C27,2,71,4060,20,Mobile
S2229,C2,61,20,3978,51,Tablet
S2230,C1,16,12,2979,54,Tablet
S2231,C15,73,65,5376,4,Mobile
S2232,C27,31,45,5240,39,Desktop
S2233,C21,5,90,409,7,Mobile
S2234,C26,63,74,2532,0,Tablet
S2235,C20,57,43,2452,0,Mobile
S2236,C23,34,67,1356,7,Desktop
S2237,C9,4,68,5919,48,Tablet
S2238,C21,63,77,2584,27,Mobile
S2239,C21,59,26,1100,38,Desktop
S2240,C10,19,76,3648,48,Tablet
S2241,C29,76,11,5958,59,Tablet
S2242,C27,83,90,1498,38,Mobile
S2243,C17,51,38,1770,2,Desktop
S2244,C18,42,48,5314,20,Mobile
S2245,C9,41,67,4123,21,Desktop
S2246,C2,57,82,4354,58,Mobile
S2247,C7,7,76,3223,24,Tablet
S2248,C16,93,63,2248,27,Tablet
S2249,C27,42,33,1371,4,Tablet
S2250,C22,41,90,2039,6,Tablet
S2251,C14,49,39,3235,6,Tablet
S2252,C30,17,65,212,7,Desktop
S2253,C7,71,85,3891,14,Mobile
S2254,C5,89,42,1362,50,Mobile
S2255,C1,61,30,4667,54,Tablet
S2256,C7,41,21,2224,49,Mobile
S2257,C18,73,17,769,3,Tablet
S2258,C28,83,32,4802,46,Desktop
S2259,C28,46,53,1879,32,Tablet
S2260,C11,6,40,684,52,Mobile
S2261,C9,86,79,4444,23,Desktop
S2262,C9,12,34,586,4,Mobile
S2263,C19,13,33,3637,48,Desktop
S2264,C16,80,12,2894,28,Mobile
S2265,C24,34,23,1651,12,Mobile
S2266,C6,72,81,1235,52,Mobile
S2267,C17,56,75,5369,53,Desktop
S2268,C1,35,48,4095,53,Tablet
S2269,C21,23,71,3388,33,Mobile
S2270,C29,42,46,4687,5,Tablet
S2271,C1,99,56,5414,48,Mobile
S2272,C3,89,28,4516,11,Desktop
S2273,C28,91,16,1506,13,Tablet
S2274,C24,44,85,3524,54,Desktop
S2275,C13,99,53,738,52,Mobile
S2276,C23,46,17,2659,3,Mobile
S2277,C19,77,42,815,18,Desktop
S2278,C14,33,86,317,50,Desktop
S2279,C24,62,43,4763,52,Tablet
S2280,C23,43,77,4729,18,Mobile
S2281,C1,31,61,4060,43,Tablet
S2282,C2,86,44,1009,0,Tablet
S2283,C28,28,46,4735,6,Desktop
S2284,C27,78,66,3365,22,Tablet
S2285,C9,2,76,5594,39,Desktop
S2286,C20,58,33,2876,43,Tablet
S2287,C11,20,69,4218,6,Mobile
S2288,C10,76,31,5365,17,Tablet
S2289,C4,44,20,5345,49,Desktop
S2290,C4,68,70,3675,57,Desktop
S2291,C22,69,36,405,20,Mobile
S2292,C7,36,61,994,39,Desktop
S2293,C4,59,74,4311,32,Desktop
S2294,C3,5,48,5718,44,Desktop
S2295,C17,92,39,3816,46,Tablet
S2296,C18,24,76,1227,1,Tablet
S2297,C24,62,26,4374,9,Mobile
S2298,C3,80,38,4648,3,Tablet
S2299,C7,77,46,2733,21,Desktop
S2300,C16,90,84,4137,18,Desktop
S2301,C30,40,17,2840,60,Tablet
S2302,C30,90,47,3023,51,Tablet
S2303,C26,24,87,3447,25,Mobile
S2304,C2,90,56,5781,28,Tablet
S2305,C13,78,66,2296,28,Desktop
S2306,C30,75,61,2725,52,Tablet
S2307,C27,52,85,3456,35,Desktop
S2308,C9,45,61,1490,45,Tablet
S2309,C29,6,53,2984,59,Mobile
S2310,C4,35,55,1364,35,Desktop
S2311,C29,97,78,2835,56,Mobile
S2312,C19,42,40,3308,8,Tablet
S2313,C26,84,86,3018,59,Tablet
S2314,C25,19,63,4218,30,Mobile
S2315,C8,60,56,1457,48,Tablet
S2316,C14,63,24,4359,56,Tablet
S2317,C21,41,51,4629,48,Desktop
S2318,C2,94,43,5944,12,Desktop
S2319,C12,40,86,3348,4,Desktop
S2320,C26,71,55,2684,21,Desktop
S2321,C1,89,16,2286,55,Tablet
S2322,C5,31,61,5646,54,Tablet
S2323,C14,85,67,4089,19,Desktop
S2324,C23,94,18,3185,20,Mobile
S2325,C22,70,68,3386,28,Desktop
S2326,C19,12,69,4554,49,Mobile
S2327,C25,78,77,5640,28,Mobile
S2328,C7,41,48,4816,2,Mobile
S2329,C9,83,14,2487,37,Desktop
S2330,C21,99,19,3630,52,Mobile
S2331,C10,98,56,3060,42,Mobile
S2332,C7,99,16,4755,31,Desktop
S2333,C27,63,78,1603,52,Desktop
S2334,C13,49,86,2833,3,Mobile
S2335,C23,71,27,1965,34,Desktop
S2336,C14,2,38,2413,10,Mobile
S2337,C26,98,72,804,60,Mobile
S2338,C19,91,62,4426,55,Desktop
S2339,C30,92,87,634,19,Desktop
S2340,C19,14,16,4993,6,Mobile
S2341,C10,19,71,4363,32,Desktop
S2342,C30,20,33,5173,44,Tablet
S2343,C29,34,49,894,35,Tablet
S2344,C8,72,89,2840,17,Desktop
S2345,C15,4,68,2032,18,Desktop
S2346,C6,91,30,3067,55,Tablet
S2347,C15,86,41,479,20,Tablet
S2348,C4,87,62,5856,59,Mobile
S2349,C14,92,32,5275,58,Mobile
S2350,C18,67,57,1547,12,Desktop
S2351,C26,51,81,4049,13,Mobile
S2352,C12,84,48,1079,36,Tablet
S2353,C17,99,53,3166,46,Mobile
S2354,C17,5,67,3619,44,Mobile
S2355,C4,37,59,3733,1,Tablet
S2356,C25,26,81,2336,7,Tablet
S2357,C4,98,25,5684,22,Tablet
S2358,C24,57,83,5602,32,Tablet
S2359,C9,34,42,5418,12,Tablet
S2360,C23,4,15,4757,27,Mobile
S2361,C14,70,53,5164,59,Mobile
S2362,C10,75,18,2694,40,Mobile
S2363,C13,74,18,4669,5,Mobile
S2364,C3,47,87,1112,15,Mobile
S2365,C8,35,31,5769,30,Mobile
S2366,C24,65,63,1667,24,Desktop
S2367,C2,49,68,5946,10,Mobile
S2368,C15,64,39,4891,30,Tablet
S2369,C23,38,70,5030,36,Mobile
S2370,C11,45,54,3866,3,Desktop
S2371,C11,52,66,899,51,Tablet
S2372,C9,100,43,3013,22,Mobile
S2373,C18,52,15,5081,53,Desktop
S2374,C7,30,57,1648,49,Desktop
S2375,C26,32,32,1161,41,Desktop
S2376,C30,78,11,5086,45,Mobile
S2377,C1,67,73,5257,1,Desktop
S2378,C6,71,49,5112,34,Desktop
S2379,C14,19,72,5365,15,Mobile
S2380,C24,84,68,3388,30,Tablet
S2381,C19,84,56,1161,6,Mobile
S2382,C23,75,62,1312,55,Mobile
S2383,C20,39,72,2221,21,Tablet
S2384,C1,12,16,2761,27,Tablet
S2385,C17,89,12,2875,18,Tablet
S2386,C21,84,61,1923,7,Mobile
S2387,C1,8,36,1260,21,Desktop
S2388,C28,67,50,3428,53,Mobile
S2389,C12,27,29,3130,47,Mobile
S2390,C24,80,31,3713,42,Tablet
S2391,C9,78,72,4323,44,Desktop
S2392,C21,40,28,283,10,Mobile
S2393,C23,84,10,1058,57,Desktop
S2394,C9,43,85,5684,59,Tablet
S2395,C19,48,55,978,24,Desktop
S2396,C7,67,65,5053,7,Tablet
S2397,C8,51,86,3033,12,Tablet
S2398,C3,71,41,5335,10,Mobile
S2399,C22,56,88,2925,12,Mobile
S2400,C13,96,46,603,16,Tablet
S2401,C22,88,79,1455,25,Desktop
S2402,C2,44,78,4388,10,Tablet
S2403,C26,20,46,1556,50,Desktop
S2404,C26,47,50,1627,22,Mobile
S2405,C21,9,17,383,40,Desktop
S2406,C14,63,49,1980,40,Desktop
S2407,C17,32,55,631,59,Tablet
S2408,C18,44,69,1231,55,Mobile
S2409,C7,92,71,2604,54,Desktop
S2410,C23,90,34,5120,45,Desktop
S2411,C14,82,25,3223,35,Tablet
S2412,C5,39,54,5305,32,Mobile
S2413,C8,48,75,4752,36,Desktop
S2414,C18,41,16,4827,51,Desktop
S2415,C28,85,13,2433,5,Mobile
S2416,C13,84,44,5672,40,Tablet
S2417,C28,8,62,5084,14,Mobile
S2418,C23,44,24,1912,43,Desktop
S2419,C8,62,51,380,10,Desktop
S2420,C26,37,64,5299,55,Mobile
S2421,C10,69,29,1873,11,Desktop
S2422,C15,18,59,2355,8,Tablet
S2423,C25,5,62,3202,14,Mobile
S2424,C14,19,43,2240,15,Mobile
S2425,C20,94,71,3951,38,Tablet
S2426,C10,39,87,806,52,Tablet
S2427,C29,29,83,1585,45,Tablet
S2428,C17,2,89,2294,50,Desktop
S2429,C30,71,24,4462,25,Mobile
S2430,C14,88,83,1110,18,Desktop
S2431,C10,24,62,1645,1,Desktop
S2432,C27,92,49,1492,55,Tablet
S2433,C20,96,20,3356,0,Mobile
S2434,C27,60,47,375,1,Tablet
S2435,C8,63,13,3810,34,Mobile
S2436,C1,13,38,4008,16,Desktop
S2437,C9,99,24,2356,43,Mobile
S2438,C9,48,43,2231,23,Mobile
S2439,C10,96,10,4436,10,Mobile
S2440,C26,99,81,1035,35,Mobile
S2441,C12,19,34,995,6,Desktop
S2442,C15,99,22,2795,43,Tablet
S2443,C6,24,34,4980,29,Mobile
S2444,C24,69,78,820,55,Tablet
S2445,C30,31,33,1802,30,Tablet
S2446,C23,71,79,2669,47,Desktop
S2447,C23,70,78,2957,57,Mobile
S2448,C5,5,25,526,53,Desktop
S2449,C28,73,88,2833,14,Mobile
S2450,C5,13,72,4523,39,Mobile
S2451,C7,90,57,4415,14,Desktop
S2452,C21,30,83,4895,35,Mobile
S2453,C11,13,65,1910,57,Tablet
S2454,C26,33,22,1642,49,Desktop
S2455,C9,19,62,1000,35,Mobile
S2456,C8,84,32,5898,12,Desktop
S2457,C9,93,57,2873,47,Mobile
S2458,C29,44,20,3657,52,Mobile
S2459,C28,51,38,1980,31,Desktop
S2460,C2,52,78,4281,19,Mobile
S2461,C17,52,32,4345,8,Desktop
S2462,C27,9,43,3718,40,Tablet
S2463,C7,24,68,4398,30,Tablet
S2464,C18,96,70,5837,12,Mobile
S2465,C8,67,35,482,56,Mobile
S2466,C28,53,60,5101,54,Tablet
S2467,C29,42,86,610,14,Tablet
S2468,C15,4,61,5422,27,Desktop
S2469,C20,43,78,4099,33,Mobile
S2470,C19,55,87,5755,13,Tablet
S2471,C25,52,61,2965,23,Desktop
S2472,C21,42,48,5511,26,Desktop
S2473,C3,47,83,3341,52,Desktop
S2474,C1,25,88,4877,32,Desktop
S2475,C16,73,69,4495,40,Mobile
S2476,C12,31,53,2668,51,Desktop
S2477,C16,11,28,4902,28,Tablet
S2478,C29,87,90,2286,9,Desktop
S2479,C11,97,26,1082,33,Mobile
S2480,C23,45,80,2547,4,Mobile
S2481,C11,73,26,3046,30,Mobile
S2482,C29,93,81,1617,49,Desktop
S2483,C12,7,80,4640,59,Mobile
S2484,C17,17,87,5101,53,Tablet
S2485,C19,63,15,2960,55,Desktop
S2486,C28,74,30,5386,26,Mobile
S2487,C15,87,31,3108,45,Mobile
S2488,C28,5,46,1879,21,Desktop
S2489,C22,10,78,5870,19,Mobile
S2490,C5,52,71,1138,27,Mobile
S2491,C30,91,11,1069,20,Tablet
S2492,C19,76,29,969,0,Tablet
S2493,C13,20,67,640,60,Mobile
S2494,C29,65,86,4448,17,Mobile
S2495,C1,50,75,1935,31,Desktop
S2496,C8,13,34,4312,22,Mobile
S2497,C25,36,29,1128,31,Desktop
S2498,C27,18,20,486,18,Mobile
S2499,C21,69,30,2106,59,Tablet
S2500,C10,77,85,2660,0,Desktop
S2501,C13,51,58,3123,18,Tablet
S2502,C11,38,86,4296,49,Tablet
S2503,C6,45,22,1767,12,Tablet
S2504,C29,58,27,4349,55,Mobile
S2505,C26,38,53,5035,42,Tablet
S2506,C2,90,38,855,29,Desktop
S2507,C11,96,55,4244,12,Tablet
S2508,C23,14,26,5666,4,Mobile
S2509,C11,2,70,1685,8,Mobile
S2510,C25,12,76,4887,7,Tablet
S2511,C1,36,75,2175,37,Desktop
S2512,C12,93,79,4913,57,Desktop
S2513,C5,61,26,345,44,Mobile
S2514,C30,71,71,2419,28,Tablet
S2515,C10,51,88,4411,51,Desktop
S2516,C21,4,88,609,37,Tablet
S2517,C26,83,65,264,6,Tablet
S2518,C9,31,54,259,30,Tablet
S2519,C27,9,55,5829,20,Tablet
S2520,C30,13,51,1330,4,Mobile
S2521,C8,93,44,4062,59,Tablet
S2522,C4,89,49,3338,58,Tablet
S2523,C21,68,81,4497,10,Mobile
S2524,C8,10,64,1512,24,Desktop
S2525,C23,88,50,1761,51,Tablet
S2526,C17,81,42,3282,51,Tablet
S2527,C23,7,23,2464,9,Tablet
S2528,C10,14,78,1045,60,Tablet
S2529,C11,89,44,1661,55,Tablet
S2530,C16,51,25,3410,26,Desktop
S2531,C28,32,74,4612,33,Desktop
S2532,C30,17,11,660,44,Desktop
S2533,C8,36,74,4051,21,Desktop
S2534,C13,5,65,1631,6,Desktop
S2535,C13,15,30,1608,47,Tablet
S2536,C30,94,46,3247,3,Desktop
S2537,C28,61,38,2294,30,Desktop
S2538,C3,1,14,3080,56,Tablet
S2539,C27,9,55,4516,33,Desktop
S2540,C17,29,57,3236,3,Tablet
S2541,C8,54,81,2858,32,Tablet
S2542,C13,71,90,980,30,Desktop
S2543,C13,73,90,4912,21,Desktop
S2544,C29,93,20,5137,8,Mobile
S2545,C16,100,16,4358,45,Mobile
S2546,C1,56,55,1356,18,Mobile
S2547,C16,76,37,4891,44,Tablet
S2548,C8,5,69,5473,48,Desktop
S2549,C1,66,63,5028,60,Tablet
S2550,C3,75,78,360,56,Tablet
S2551,C19,63,44,3394,57,Desktop
S2552,C24,71,18,424,60,Mobile
S2553,C4,75,72,2998,53,Tablet
S2554,C27,47,28,2705,12,Tablet
S2555,C19,46,29,425,18,Desktop
S2556,C30,8,53,2504,43,Tablet
S2557,C25,25,23,1105,37,Mobile
S2558,C19,10,66,3868,42,Mobile
S2559,C15,13,85,5377,37,Tablet
S2560,C17,62,44,303,1,Tablet
S2561,C17,31,66,1339,21,Mobile
S2562,C19,29,10,4099,40,Desktop
S2563,C11,99,20,4225,14,Tablet
S2564,C28,91,47,667,5,Mobile
S2565,C21,16,76,2582,29,Desktop
S2566,C25,96,73,5867,56,Mobile
S2567,C9,43,26,736,55,Desktop
S2568,C20,80,71,2217,14,Tablet
S2569,C2,43,88,4535,19,Mobile
S2570,C20,29,28,5811,25,Tablet
S2571,C23,83,71,523,37,Desktop
S2572,C6,72,60,683,0,Desktop
S2573,C12,34,44,5222,9,Tablet
S2574,C17,62,90,1371,15,Tablet
S2575,C2,68,74,4793,53,Tablet
S2576,C4,85,19,1708,22,Tablet
S2577,C19,60,47,3570,28,Mobile
S2578,C18,5,19,1834,4,Tablet
S2579,C16,63,34,3381,37,Desktop
S2580,C20,29,20,1184,53,Mobile
S2581,C6,81,68,1030,31,Tablet
S2582,C2,90,20,5232,6,Desktop
S2583,C18,81,80,295,20,Tablet
S2584,C17,92,52,5569,16,Mobile
S2585,C5,74,39,935,46,Tablet
S2586,C15,68,27,2570,38,Desktop
S2587,C5,25,57,521,10,Mobile
S2588,C26,59,36,5719,21,Mobile
S2589,C5,25,71,3875,6,Desktop
S2590,C29,36,62,4085,20,Mobile
S2591,C6,76,85,5569,13,Mobile
S2592,C16,30,82,3358,32,Desktop
S2593,C27,2,46,2399,57,Mobile
S2594,C20,63,41,997,60,Mobile
S2595,C8,85,53,954,60,Desktop
S2596,C1,9,78,2418,24,Desktop
S2597,C24,4,20,4734,48,Desktop
S2598,C12,6,40,5021,51,Desktop
S2599,C16,77,43,2076,25,Desktop
S2600,C25,9,86,5780,38,Tablet
S2601,C3,32,25,3895,17,Mobile
S2602,C16,23,52,4094,31,Mobile
S2603,C12,81,27,2309,21,Desktop
S2604,C12,86,66,2127,27,Mobile
S2605,C11,98,88,2475,22,Tablet
S2606,C27,58,35,3952,51,Desktop
S2607,C15,41,82,2831,40,Tablet
S2608,C20,86,20,4762,12,Tablet
S2609,C14,44,89,4113,44,Mobile
S2610,C17,51,33,527,38,Desktop
S2611,C17,3,30,1069,45,Tablet
S2612,C14,62,53,4864,48,Mobile
S2613,C25,4,56,4115,37,Tablet
S2614,C29,4,12,3482,9,Mobile
S2615,C21,13,68,3662,38,Desktop
S2616,C30,8,62,2007,41,Tablet
S2617,C7,7,80,393,25,Mobile
S2618,C7,97,85,5198,50,Tablet
S2619,C2,67,48,4167,55,Mobile
S2620,C13,73,22,2595,19,Desktop
S2621,C24,31,47,208,22,Desktop
S2622,C2,67,51,4794,40,Tablet
S2623,C5,72,67,931,0,Tablet
S2624,C26,54,58,5706,36,Mobile
S2625,C28,80,62,1359,55,Mobile
S2626,C9,55,54,5710,49,Desktop
S2627,C9,18,43,5231,46,Tablet
S2628,C3,24,44,3057,51,Tablet
S2629,C1,78,56,2901,29,Tablet
S2630,C2,23,63,1077,29,Mobile
S2631,C17,36,81,5066,27,Desktop
S2632,C17,20,77,5916,1,Mobile
S2633,C30,63,74,1517,34,Tablet
S2634,C9,28,25,2319,39,Desktop
S2635,C5,53,30,2304,0,Mobile
S2636,C26,17,41,783,12,Mobile
S2637,C29,7,70,4951,51,Desktop
S2638,C11,74,72,5371,42,Desktop
S2639,C15,43,42,4842,10,Tablet
S2640,C13,95,18,2036,57,Desktop
S2641,C2,19,70,2939,25,Tablet
S2642,C10,64,60,2058,21,Tablet
S2643,C12,85,14,576,30,Desktop
S2644,C15,55,52,1351,58,Mobile
S2645,C6,48,33,547,12,Mobile
S2646,C21,90,72,3694,4,Desktop
S2647,C1,50,57,2680,20,Mobile
S2648,C24,10,32,2566,29,Desktop
S2649,C5,63,86,5374,2,Desktop
S2650,C28,27,18,2552,48,Desktop
S2651,C7,67,59,5340,5,Tablet
S2652,C29,28,65,1532,47,Desktop
S2653,C3,28,72,2551,7,Tablet
S2654,C1,25,66,5442,48,Desktop
S2655,C19,88,84,1778,60,Tablet
S2656,C20,46,57,4999,12,Desktop
S2657,C6,69,47,1320,20,Tablet
S2658,C1,34,53,2021,10,Desktop
S2659,C11,96,29,3640,34,Mobile
S2660,C3,43,90,3026,23,Mobile
S2661,C3,72,16,5551,42,Mobile
S2662,C20,41,24,2938,11,Mobile
S2663,C10,29,63,1986,60,Tablet
S2664,C17,94,64,854,41,Mobile
S2665,C20,68,21,1873,30,Tablet
S2666,C6,8,58,4930,38,Desktop
S2667,C19,52,19,5604,21,Tablet
S2668,C5,92,82,3573,37,Desktop
S2669,C30,38,43,5765,9,Tablet
S2670,C21,11,68,202,21,Tablet
S2671,C24,64,49,3807,28,Desktop
S2672,C28,89,81,1280,12,Mobile
S2673,C2,67,89,201,37,Mobile
S2674,C30,79,65,3210,26,Desktop
S2675,C17,77,73,4121,58,Mobile
S2676,C23,4,69,2314,54,Desktop
S2677,C14,15,87,3412,41,Desktop
S2678,C21,80,54,274,45,Desktop
S2679,C22,91,33,1776,39,Desktop
S2680,C19,36,76,576,0,Desktop
S2681,C13,59,56,1927,43,Mobile
S2682,C30,82,10,1911,15,Mobile
S2683,C13,44,24,3018,13,Mobile
S2684,C30,93,89,333,23,Desktop
S2685,C16,15,55,2662,59,Tablet
S2686,C11,71,44,5075,14,Mobile
S2687,C25,40,48,4715,53,Tablet
S2688,C20,37,44,2053,10,Tablet
S2689,C5,20,65,1453,53,Tablet
S2690,C5,65,50,5589,34,Mobile
S2691,C30,82,67,4178,53,Tablet
S2692,C24,31,18,686,19,Mobile
S2693,C3,17,80,1154,38,Desktop
S2694,C1,34,48,2594,11,Tablet
S2695,C15,11,56,3894,37,Desktop
S2696,C9,30,43,1671,37,Mobile
S2697,C5,39,73,1406,33,Desktop
S2698,C25,55,27,4398,39,Desktop
S2699,C1,46,76,5474,4,Mobile
S2700,C13,88,20,912,10,Desktop
S2701,C5,70,47,1419,21,Desktop
S2702,C8,10,13,3245,52,Mobile
S2703,C21,45,19,4921,15,Tablet
S2704,C23,86,21,2643,12,Mobile
S2705,C14,54,68,4026,7,Mobile
S2706,C3,22,60,5352,22,Mobile
S2707,C3,81,59,5194,15,Desktop
S2708,C12,29,54,3305,13,Tablet
S2709,C14,54,41,2570,41,Desktop
S2710,C23,96,15,3581,52,Desktop
S2711,C29,73,75,4888,13,Desktop
S2712,C11,17,79,2388,47,Tablet
S2713,C28,78,35,5785,44,Desktop
S2714,C6,36,15,4267,45,Mobile
S2715,C27,46,22,2778,60,Mobile
S2716,C8,80,28,3781,53,Mobile
S2717,C3,59,32,494,42,Mobile
S2718,C25,60,17,3726,35,Mobile
S2719,C15,82,18,4070,28,Mobile
S2720,C20,2,46,4274,46,Desktop
S2721,C7,84,18,3774,36,Desktop
S2722,C23,63,52,1304,1,Mobile
S2723,C26,40,24,2418,49,Desktop
S2724,C25,89,58,2419,59,Tablet
S2725,C14,6,38,1437,33,Mobile
S2726,C14,84,14,5319,7,Mobile
S2727,C12,17,62,4213,30,Desktop
S2728,C14,36,84,4444,26,Tablet
S2729,C12,29,76,2129,43,Tablet
S2730,C18,22,69,5225,20,Desktop
S2731,C19,11,54,4285,52,Mobile
S2732,C26,23,41,2935,39,Tablet
S2733,C29,21,69,4018,19,Desktop
S2734,C1,64,89,2772,28,Desktop
S2735,C1,84,14,248,4,Desktop
S2736,C14,42,83,4262,46,Tablet
S2737,C13,61,49,4136,42,Desktop
S2738,C15,73,21,4786,29,Desktop
S2739,C23,38,49,3629,50,Tablet
S2740,C24,64,67,438,9,Tablet
S2741,C8,67,66,4177,51,Desktop
S2742,C21,90,75,4496,14,Mobile
S2743,C10,78,58,5081,31,Tablet
S2744,C30,22,82,374,54,Mobile
S2745,C21,42,12,362,45,Desktop
S2746,C22,81,42,4165,34,Mobile
S2747,C9,82,74,2410,17,Mobile
S2748,C1,11,27,1929,27,Desktop
S2749,C5,18,24,5145,26,Mobile
S2750,C28,12,25,3844,45,Tablet
S2751,C14,21,54,4021,52,Mobile
S2752,C4,4,67,4441,0,Mobile
S2753,C21,5,44,4095,15,Mobile
S2754,C6,83,67,1653,11,Mobile
S2755,C14,87,53,1481,34,Mobile
S2756,C3,51,62,738,53,Tablet
S2757,C28,64,10,2801,31,Tablet
S2758,C4,54,82,1506,47,Desktop
S2759,C15,47,44,2771,19,Mobile
S2760,C8,5,33,705,47,Tablet
S2761,C8,4,87,2545,55,Desktop
S2762,C2,28,61,1378,44,Tablet
