student_id,average_quiz_score,assignment_score,final_exam_score,badges_earned,certified
S2515,70,64,68,4,1
S2516,50,47,40,7,0
S2517,55,50,54,2,0
S2518,94,94,86,4,1
S2519,100,98,97,3,1
S2520,50,46,30,1,0
S2521,55,52,41,5,0
S2522,70,70,65,0,1
S2523,99,90,94,6,1
S2524,58,48,43,5,0
S2525,59,53,39,2,0
S2526,79,76,73,7,1
S2527,71,64,69,2,1
S2528,78,68,59,2,1
S2529,83,75,77,0,1
S2530,92,89,73,5,1
S2531,52,50,52,1,0
S2532,86,76,83,5,1
S2533,93,93,93,5,1
S2534,58,48,57,5,0
S2535,86,85,69,7,1
S2536,63,63,57,3,1
S2537,56,50,54,4,0
S2538,72,64,53,6,1
S2539,76,74,70,5,1
S2540,85,82,76,6,1
S2541,66,56,47,2,1
S2542,56,50,47,4,0
S2543,91,90,81,8,1
S2544,87,82,75,8,1
S2545,91,84,87,2,1
S2546,62,52,43,8,1
S2547,69,62,68,6,1
S2548,77,73,76,1,1
S2549,70,67,60,8,1
S2550,72,71,61,8,1
S2551,47,45,29,5,0
S2552,40,36,35,3,0
S2553,92,84,77,1,1
S2554,69,67,58,1,1
S2555,68,61,59,0,1
S2556,85,78,72,0,1
S2557,65,57,48,2,1
S2558,78,76,65,3,1
S2559,66,66,57,8,1
S2560,68,65,55,2,1
S2561,51,47,50,3,0
S2562,99,96,90,4,1
S2563,71,66,55,4,1
S2564,99,99,80,4,1
S2565,95,87,86,0,1
S2566,89,82,71,3,1
S2567,52,47,32,4,0
S2568,76,68,58,4,1
S2569,46,43,30,0,0
S2570,70,67,57,7,1
S2571,85,83,82,1,1
S2572,41,37,41,8,0
S2573,97,93,97,0,1
S2574,87,87,82,4,1
S2575,75,67,75,5,1
S2576,55,52,43,1,0
S2577,95,94,79,4,1
S2578,100,96,97,7,1
S2579,56,48,39,1,0
S2580,96,89,94,4,1
S2581,84,84,71,2,1
S2582,44,36,39,5,0
S2583,77,69,58,1,1
S2584,68,65,66,2,1
S2585,50,47,37,2,0
S2586,49,40,47,7,0
S2587,84,80,76,0,1
S2588,44,38,24,7,0
S2589,54,46,34,1,0
S2590,61,59,52,6,1
S2591,40,34,25,2,0
S2592,55,51,39,7,0
S2593,82,79,65,0,1
S2594,57,56,56,2,0
S2595,49,39,47,7,0
S2596,75,68,71,6,1
S2597,49,39,47,4,0
S2598,81,72,74,5,1
S2599,84,76,80,1,1
S2600,90,80,79,0,1
S2601,46,39,40,0,0
S2602,99,89,83,3,1
S2603,93,87,91,8,1
S2604,49,46,41,0,0
S2605,98,90,86,6,1
S2606,44,43,25,3,0
S2607,81,76,72,1,1
S2608,58,53,51,4,0
S2609,47,37,27,0,0
S2610,62,53,53,8,1
S2611,58,53,45,6,0
S2612,55,53,49,3,0
S2613,79,77,60,1,1
S2614,79,76,75,5,1
S2615,65,65,49,3,1
S2616,71,61,64,3,1
S2617,54,48,50,1,0
S2618,57,55,52,1,0
S2619,85,79,77,4,1
S2620,100,93,96,5,1
S2621,74,68,63,0,1
S2622,45,37,45,0,0
S2623,98,89,97,6,1
S2624,61,60,60,7,1
S2625,100,95,99,3,1
S2626,64,55,47,4,1
S2627,73,73,60,7,1
S2628,86,79,67,5,1
S2629,85,81,74,5,1
S2630,41,41,23,4,0
S2631,48,38,30,3,0
S2632,85,80,76,5,1
S2633,47,39,38,4,0
S2634,42,33,38,8,0
S2635,88,87,86,8,1
S2636,76,67,63,5,1
S2637,80,78,80,0,1
S2638,58,49,42,4,0
S2639,82,77,75,8,1
S2640,69,68,62,5,1
S2641,88,80,80,4,1
S2642,87,81,68,6,1
S2643,81,81,66,2,1
S2644,87,87,81,7,1
S2645,65,62,50,1,1
S2646,66,66,53,0,1
S2647,43,38,38,8,0
S2648,87,83,71,0,1
S2649,79,78,78,0,1
S2650,92,90,74,1,1
S2651,100,97,85,1,1
S2652,72,65,65,7,1
S2653,81,76,66,1,1
S2654,63,54,59,1,1
S2655,92,88,81,8,1
S2656,51,50,36,4,0
S2657,61,58,53,4,1
S2658,94,91,93,8,1
S2659,82,81,65,6,1
S2660,47,42,32,0,0
S2661,55,54,44,1,0
S2662,53,48,38,2,0
S2663,49,42,42,6,0
S2664,47,40,40,0,0
S2665,58,56,51,3,0
S2666,56,52,40,5,0
S2667,90,85,70,7,1
S2668,98,91,87,2,1
S2669,81,78,62,6,1
S2670,71,65,58,5,1
S2671,90,88,82,8,1
S2672,41,32,35,3,0
S2673,72,70,68,5,1
S2674,59,57,44,1,0
S2675,44,38,26,8,0
S2676,69,69,50,6,1
S2677,96,87,86,7,1
S2678,82,74,75,3,1
S2679,98,88,82,7,1
S2680,80,74,60,2,1
S2681,84,75,76,5,1
S2682,41,38,31,5,0
S2683,88,78,84,1,1
S2684,86,86,76,3,1
S2685,43,35,41,1,0
S2686,62,54,62,6,1
S2687,79,79,79,8,1
S2688,93,85,78,2,1
S2689,77,71,75,2,1
S2690,65,58,62,6,1
S2691,78,77,73,4,1
S2692,77,72,61,4,1
S2693,76,72,71,6,1
S2694,86,81,83,3,1
S2695,65,57,50,7,1
S2696,82,72,63,1,1
S2697,48,45,30,7,0
S2698,40,30,27,3,0
S2699,93,90,78,7,1
S2700,99,99,81,6,1
S2701,100,91,91,1,1
S2702,43,37,26,8,0
S2703,51,47,41,1,0
S2704,42,39,32,4,0
S2705,100,97,93,0,1
S2706,64,64,47,4,1
S2707,46,37,45,5,0
S2708,55,46,39,0,0
S2709,40,37,40,4,0
S2710,81,81,78,0,1
S2711,96,90,87,2,1
S2712,93,93,78,3,1
S2713,49,39,44,5,0
S2714,60,57,53,0,0
S2715,91,82,91,1,1
S2716,49,40,32,4,0
S2717,74,66,63,2,1
S2718,76,70,75,0,1
S2719,94,90,76,8,1
S2720,85,77,80,8,1
S2721,77,76,74,4,1
S2722,73,68,71,8,1
S2723,57,54,51,3,0
S2724,85,81,77,0,1
S2725,77,73,77,8,1
S2726,50,40,46,1,0
S2727,74,68,73,2,1
S2728,78,71,70,1,1
S2729,75,66,66,5,1
S2730,97,91,86,5,1
S2731,47,45,42,6,0
S2732,98,95,88,5,1
S2733,50,40,30,6,0
S2734,42,40,23,5,0
S2735,64,60,47,4,1
S2736,50,50,48,0,0
S2737,44,42,41,7,0
S2738,59,58,47,3,0
S2739,43,39,37,1,0
S2740,89,89,72,1,1
S2741,68,59,50,2,1
S2742,54,51,49,5,0
S2743,90,80,73,7,1
S2744,60,59,53,6,0
S2745,94,93,88,1,1
S2746,93,91,91,3,1
S2747,97,96,78,3,1
S2748,77,69,77,4,1
S2749,93,88,75,7,1
S2750,80,79,73,4,1
S2751,70,67,63,7,1
S2752,99,89,89,3,1
S2753,82,74,71,2,1
S2754,50,44,36,2,0
S2755,78,69,61,1,1
S2756,50,45,44,5,0
S2757,55,48,35,1,0
S2758,64,61,63,8,1
S2759,99,92,87,4,1
S2760,60,54,50,2,0
S2761,59,52,43,7,0
S2762,74,70,56,1,1
S2763,75,73,59,0,1
S2764,99,93,94,1,1
S2765,62,55,44,4,1
S2766,91,83,72,6,1
S2767,100,100,81,8,1
S2768,68,59,67,8,1
S2769,69,65,62,2,1
S2770,48,39,30,5,0
S2771,88,82,72,3,1
S2772,53,53,50,0,0
S2773,52,44,51,4,0
S2774,98,88,89,0,1
S2775,56,49,55,8,0
S2776,47,42,36,7,0
S2777,90,85,77,1,1
S2778,63,57,63,1,1
S2779,79,77,61,1,1
S2780,86,78,82,5,1
S2781,76,71,63,3,1
S2782,92,87,92,3,1
S2783,47,42,37,2,0
S2784,80,72,63,2,1
S2785,93,83,77,0,1
S2786,61,52,41,5,1
S2787,43,38,26,4,0
S2788,66,58,51,0,1
S2789,68,61,59,7,1
S2790,74,73,64,6,1
S2791,66,60,55,6,1
S2792,100,94,85,5,1
S2793,67,63,56,8,1
S2794,45,42,45,4,0
S2795,98,89,95,1,1
S2796,53,47,47,1,0
S2797,87,81,74,6,1
S2798,50,49,33,0,0
S2799,81,71,62,2,1
S2800,41,35,29,1,0
S2801,93,83,73,5,1
S2802,62,62,61,1,1
S2803,94,86,76,0,1
S2804,100,96,84,8,1
S2805,75,74,66,1,1
S2806,55,46,41,2,0
S2807,66,60,60,8,1
S2808,67,66,61,7,1
S2809,42,37,28,5,0
S2810,80,70,64,8,1
S2811,90,82,72,7,1
S2812,54,53,35,4,0
S2813,49,49,37,7,0
S2814,63,55,58,6,1
S2815,63,59,54,4,1
S2816,69,69,65,8,1
S2817,53,52,41,4,0
S2818,91,91,82,1,1
S2819,80,73,79,2,1
S2820,81,79,64,6,1
S2821,88,81,88,0,1
S2822,74,66,55,6,1
S2823,56,50,38,2,0
S2824,85,75,84,8,1
S2825,58,51,42,3,0
S2826,68,59,64,6,1
S2827,86,86,85,0,1
S2828,44,44,27,5,0
S2829,66,56,57,0,1
S2830,77,76,68,4,1
S2831,92,92,80,1,1
S2832,99,92,83,8,1
S2833,84,79,78,4,1
S2834,49,43,31,1,0
S2835,63,55,53,5,1
S2836,97,93,79,0,1
S2837,80,70,62,2,1
S2838,42,39,31,6,0
S2839,91,86,90,1,1
S2840,66,64,57,4,1
S2841,90,83,81,7,1
S2842,92,85,85,4,1
S2843,80,71,71,7,1
S2844,41,35,37,7,0
S2845,98,90,87,8,1
S2846,96,96,96,2,1
S2847,64,64,51,6,1
S2848,86,80,77,3,1
S2849,85,79,80,8,1
S2850,87,83,87,8,1
S2851,66,63,46,6,1
S2852,68,66,57,5,1
S2853,65,56,64,6,1
S2854,57,57,41,4,0
S2855,64,58,60,3,1
S2856,53,50,39,5,0
S2857,76,75,57,6,1
S2858,79,75,63,6,1
S2859,57,50,48,1,0
S2860,41,41,25,1,0
S2861,59,57,46,7,0
S2862,46,45,34,4,0
S2863,84,84,81,3,1
S2864,84,75,66,1,1
S2865,92,85,90,7,1
S2866,54,48,48,1,0
S2867,99,99,95,5,1
S2868,86,82,73,5,1
S2869,96,94,89,1,1
S2870,48,46,39,0,0
S2871,70,64,63,5,1
S2872,52,43,34,7,0
S2873,47,37,41,8,0
S2874,44,38,44,3,0
S2875,56,49,40,5,0
S2876,64,57,56,5,1
S2877,57,51,44,2,0
S2878,54,46,34,3,0
S2879,68,59,48,8,1
S2880,59,51,55,3,0
S2881,46,43,44,6,0
S2882,69,62,55,7,1
S2883,44,41,26,2,0
S2884,87,80,87,1,1
S2885,50,45,44,7,0
S2886,63,59,60,5,1
S2887,58,53,39,7,0
S2888,89,88,83,6,1
S2889,54,48,52,0,0
S2890,97,94,77,6,1
S2891,94,89,86,7,1
S2892,41,31,21,8,0
S2893,78,75,68,6,1
S2894,82,80,80,4,1
S2895,89,80,83,8,1
S2896,92,84,72,6,1
S2897,66,63,57,5,1
S2898,84,80,76,6,1
S2899,75,74,75,8,1
S2900,74,74,65,7,1
S2901,73,68,69,1,1
S2902,61,60,55,6,1
S2903,93,92,91,4,1
S2904,97,91,81,7,1
S2905,43,40,33,2,0
S2906,54,53,34,6,0
S2907,57,50,40,2,0
S2908,53,52,41,5,0
S2909,58,50,46,2,0
S2910,72,67,53,8,1
S2911,98,89,93,8,1
S2912,91,86,82,4,1
S2913,49,41,42,0,0
S2914,100,99,87,4,1
S2915,92,82,86,6,1
S2916,85,79,73,6,1
S2917,96,87,92,4,1
S2918,59,57,54,5,0
S2919,49,48,43,0,0
S2920,92,92,75,0,1
S2921,47,39,40,4,0
S2922,59,52,58,7,0
S2923,74,71,66,8,1
S2924,69,62,63,4,1
S2925,68,67,66,0,1
S2926,49,46,40,1,0
S2927,75,65,56,5,1
S2928,46,44,29,8,0
S2929,75,70,68,1,1
S2930,64,62,48,6,1
S2931,51,41,50,0,0
S2932,70,68,55,6,1
S2933,61,58,56,0,1
S2934,45,41,41,6,0
S2935,48,43,40,7,0
S2936,45,41,37,8,0
S2937,55,48,45,5,0
S2938,73,72,71,1,1
S2939,49,43,41,6,0
S2940,74,69,62,3,1
S2941,95,94,89,1,1
S2942,68,67,58,8,1
S2943,63,56,43,3,1
S2944,57,54,52,8,0
S2945,80,76,78,4,1
S2946,50,47,42,8,0
S2947,41,35,30,0,0
S2948,51,50,45,7,0
S2949,44,40,28,2,0
S2950,92,82,82,8,1
S2951,93,93,85,4,1
S2952,74,64,57,2,1
S2953,96,88,84,3,1
S2954,54,51,46,7,0
S2955,42,39,23,3,0
S2956,99,96,81,5,1
S2957,100,98,83,2,1
S2958,90,89,71,6,1
S2959,52,45,46,1,0
S2960,67,58,60,6,1
S2961,99,97,92,3,1
S2962,48,48,31,8,0
S2963,41,41,30,7,0
S2964,55,45,51,1,0
S2965,65,58,47,3,1
S2966,48,45,47,6,0
S2967,60,51,57,7,0
S2968,99,89,87,8,1
S2969,89,80,76,5,1
S2970,45,35,38,0,0
S2971,99,99,81,3,1
S2972,90,85,77,8,1
S2973,99,89,94,0,1
S2974,72,65,62,4,1
S2975,68,60,65,4,1
S2976,53,44,48,5,0
S2977,49,42,36,5,0
S2978,70,63,70,7,1
S2979,72,62,67,8,1
S2980,67,60,62,0,1
S2981,46,40,37,1,0
S2982,45,41,30,0,0
S2983,55,45,51,3,0
S2984,84,83,75,1,1
S2985,97,92,81,1,1
S2986,96,87,84,8,1
S2987,85,78,81,1,1
S2988,57,50,45,7,0
S2989,89,79,88,4,1
S2990,76,70,65,8,1
S2991,41,33,34,1,0
S2992,88,87,71,4,1
S2993,66,63,53,7,1
S2994,46,45,42,6,0
S2995,96,93,78,8,1
S2996,85,77,84,3,1
S2997,78,73,60,1,1
S2998,72,63,62,0,1
S2999,71,64,65,5,1
S3000,48,42,32,4,0
S3001,72,71,72,8,1
S3002,100,93,87,6,1
S3003,67,58,65,7,1
S3004,72,70,54,2,1
S3005,77,72,69,5,1
S3006,66,61,49,6,1
S3007,67,64,64,8,1
S3008,80,78,76,5,1
S3009,100,100,80,4,1
S3010,82,80,80,3,1
S3011,42,36,37,2,0
S3012,99,97,91,6,1
S3013,79,71,60,1,1
S3014,58,58,58,4,0
S3015,56,48,54,3,0
S3016,46,37,42,3,0
S3017,86,86,86,7,1
S3018,56,53,40,0,0
S3019,45,40,43,6,0
S3020,100,99,82,2,1
S3021,71,63,65,6,1
S3022,48,44,29,7,0
S3023,75,69,63,1,1
S3024,97,95,96,6,1
S3025,87,87,70,0,1
S3026,50,42,39,1,0
S3027,89,83,69,3,1
S3028,85,79,76,4,1
S3029,40,31,27,1,0
S3030,90,85,76,6,1
S3031,88,86,81,0,1
S3032,61,59,48,2,1
S3033,47,46,28,0,0
S3034,98,90,80,2,1
S3035,62,57,53,0,1
S3036,54,51,37,5,0
S3037,53,44,36,2,0
S3038,89,84,74,6,1
S3039,68,64,59,1,1
S3040,79,76,67,7,1
S3041,71,65,58,5,1
S3042,58,55,48,5,0
S3043,97,91,89,6,1
S3044,85,80,68,0,1
S3045,62,60,53,4,1
S3046,94,86,91,6,1
S3047,94,94,80,1,1
S3048,75,75,70,5,1
S3049,65,56,58,2,1
S3050,77,72,61,0,1
S3051,94,85,91,2,1
S3052,95,95,90,5,1
S3053,57,54,41,3,0
S3054,85,84,70,1,1
S3055,41,34,34,1,0
S3056,70,63,68,8,1
S3057,48,48,43,7,0
S3058,72,72,70,1,1
S3059,97,94,84,3,1
S3060,61,56,54,1,1
S3061,62,59,44,7,1
S3062,61,55,45,7,1
S3063,91,81,88,8,1
S3064,71,65,55,8,1
S3065,95,95,81,8,1
S3066,66,59,57,0,1
S3067,44,38,25,5,0
S3068,78,68,66,6,1
S3069,73,72,62,1,1
S3070,64,59,61,7,1
S3071,49,44,34,4,0
S3072,87,86,77,7,1
S3073,41,33,32,6,0
S3074,84,80,82,2,1
S3075,65,56,48,1,1
S3076,54,44,47,0,0
S3077,61,55,58,5,1
S3078,57,51,53,3,0
S3079,43,39,35,1,0
S3080,52,46,52,8,0
S3081,89,86,78,6,1
S3082,94,87,84,4,1
S3083,62,60,53,8,1
S3084,58,52,55,7,0
S3085,76,66,59,0,1
S3086,49,45,45,3,0
S3087,86,83,74,0,1
S3088,73,64,56,7,1
S3089,48,40,33,0,0
S3090,92,86,81,0,1
S3091,60,50,44,3,0
S3092,45,36,33,1,0
S3093,54,52,34,6,0
S3094,94,89,78,8,1
S3095,74,74,55,6,1
S3096,93,89,83,4,1
S3097,94,88,83,5,1
S3098,74,69,61,4,1
S3099,99,89,99,6,1
S3100,52,46,32,4,0
S3101,95,92,82,2,1
S3102,43,37,31,3,0
S3103,56,56,48,5,0
S3104,69,61,66,4,1
S3105,90,89,75,5,1
S3106,76,73,66,2,1
S3107,73,73,57,1,1
S3108,80,77,71,3,1
S3109,41,32,26,2,0
S3110,52,43,45,5,0
S3111,70,67,67,1,1
S3112,86,82,66,3,1
S3113,73,72,57,8,1
S3114,93,93,75,3,1
S3115,70,61,50,5,1
S3116,85,83,79,0,1
S3117,84,84,80,8,1
S3118,42,33,23,2,0
S3119,95,85,92,4,1
S3120,100,98,91,4,1
S3121,87,83,78,1,1
S3122,88,79,73,5,1
S3123,48,38,44,2,0
S3124,82,81,77,4,1
S3125,75,65,71,1,1
S3126,82,76,64,4,1
S3127,82,77,77,5,1
S3128,74,72,72,2,1
S3129,65,57,63,5,1
S3130,73,65,55,3,1
S3131,61,57,47,1,1
S3132,84,78,71,2,1
S3133,82,81,68,4,1
S3134,48,41,36,2,0
S3135,78,77,68,0,1
S3136,84,77,82,1,1
S3137,52,45,33,4,0
S3138,99,98,91,6,1
S3139,57,55,44,0,0
S3140,88,87,69,3,1
S3141,50,48,36,7,0
S3142,40,39,28,2,0
S3143,44,43,28,3,0
S3144,93,88,77,3,1
S3145,40,31,26,8,0
S3146,75,68,74,5,1
S3147,63,53,54,8,1
S3148,48,43,33,2,0
S3149,63,60,62,7,1
S3150,63,53,53,5,1
S3151,74,73,69,8,1
S3152,73,70,65,1,1
S3153,49,44,37,6,0
S3154,74,64,54,5,1
S3155,62,60,61,4,1
S3156,44,38,28,3,0
S3157,97,96,87,5,1
S3158,81,80,79,0,1
S3159,61,58,59,1,1
S3160,85,85,77,6,1
S3161,100,96,98,8,1
S3162,74,72,70,1,1
S3163,69,66,66,0,1
S3164,64,60,55,4,1
S3165,60,53,50,2,0
S3166,84,75,68,7,1
S3167,80,77,80,7,1
S3168,49,48,31,5,0
S3169,66,57,61,4,1
S3170,100,99,85,0,1
S3171,53,44,42,1,0
S3172,45,35,33,4,0
S3173,94,93,76,4,1
S3174,41,40,22,5,0
S3175,71,63,71,1,1
S3176,72,63,57,5,1
S3177,40,39,29,8,0
S3178,60,52,54,4,0
S3179,87,87,79,6,1
S3180,83,73,75,7,1
S3181,89,83,78,4,1
S3182,61,56,59,1,1
S3183,84,81,81,8,1
S3184,78,77,77,1,1
S3185,41,35,24,4,0
S3186,77,75,60,8,1
S3187,80,79,65,5,1
S3188,69,64,51,8,1
S3189,82,74,72,3,1
S3190,83,80,81,1,1
S3191,47,44,35,1,0
S3192,86,79,68,8,1
S3193,70,60,67,5,1
S3194,90,84,70,3,1
S3195,43,43,33,4,0
S3196,78,76,61,2,1
S3197,47,37,46,4,0
S3198,61,53,61,4,1
S3199,77,67,72,1,1
S3200,100,98,85,1,1
S3201,95,90,75,0,1
S3202,68,58,63,4,1
S3203,65,63,63,8,1
S3204,58,48,42,8,0
S3205,64,63,60,7,1
S3206,89,85,86,8,1
S3207,56,48,42,6,0
S3208,65,59,59,1,1
S3209,77,73,65,8,1
S3210,99,99,89,2,1
S3211,65,56,59,6,1
S3212,48,41,44,1,0
S3213,90,84,84,4,1
S3214,64,62,44,5,1
S3215,46,38,41,6,0
S3216,59,58,46,3,0
S3217,65,63,63,6,1
S3218,69,66,52,3,1
S3219,57,47,55,8,0
S3220,73,65,56,5,1
S3221,75,74,58,3,1
S3222,99,89,84,2,1
S3223,83,81,73,3,1
S3224,48,45,41,0,0
S3225,49,48,32,2,0
S3226,72,68,55,0,1
S3227,75,75,69,0,1
S3228,66,59,65,6,1
S3229,54,54,46,6,0
S3230,58,50,52,3,0
S3231,57,50,44,4,0
S3232,93,89,91,6,1
S3233,74,68,57,3,1
S3234,87,82,68,3,1
S3235,64,62,60,3,1
S3236,67,65,65,0,1
S3237,59,49,57,7,0
S3238,66,57,64,2,1
S3239,86,76,76,7,1
S3240,56,47,44,8,0
S3241,50,43,48,7,0
S3242,62,61,53,5,1
S3243,94,84,92,0,1
S3244,100,90,87,0,1
S3245,80,76,78,2,1
S3246,59,51,51,1,0
S3247,50,45,45,1,0
S3248,88,83,81,3,1
S3249,43,34,26,6,0
S3250,78,69,77,4,1
S3251,87,84,86,1,1
S3252,73,72,53,4,1
S3253,68,64,62,3,1
S3254,72,66,66,4,1
S3255,91,86,79,4,1
S3256,96,87,77,4,1
S3257,75,70,59,5,1
S3258,56,50,48,8,0
S3259,65,61,58,1,1
S3260,65,56,58,2,1
S3261,95,91,83,6,1
S3262,61,55,50,4,1
S3263,58,49,54,0,0
S3264,70,70,50,0,1
S3265,84,76,70,2,1
S3266,86,82,83,5,1
S3267,64,62,62,7,1
S3268,70,66,67,0,1
S3269,47,46,46,6,0
S3270,65,59,48,6,1
S3271,96,89,83,5,1
S3272,83,78,67,2,1
S3273,100,98,99,4,1
S3274,97,93,95,5,1
S3275,48,44,38,7,0
S3276,73,73,61,2,1
S3277,40,34,24,8,0
S3278,58,54,57,5,0
S3279,52,47,35,6,0
S3280,49,46,42,7,0
S3281,100,95,81,0,1
S3282,61,59,56,0,1
S3283,100,90,85,5,1
S3284,99,89,92,7,1
S3285,74,69,55,4,1
S3286,72,66,69,5,1
S3287,53,43,53,1,0
S3288,83,77,65,6,1
S3289,42,39,28,6,0
S3290,53,52,44,1,0
S3291,74,72,63,7,1
S3292,94,92,86,5,1
S3293,55,51,53,2,0
S3294,91,87,73,2,1
S3295,81,78,62,2,1
S3296,87,83,74,6,1
S3297,51,51,42,1,0
S3298,47,37,41,7,0
S3299,58,55,42,3,0
S3300,100,93,96,3,1
S3301,82,72,69,1,1
S3302,91,90,71,0,1
S3303,84,76,84,3,1
S3304,78,75,76,2,1
S3305,53,48,44,7,0
S3306,64,61,47,7,1
S3307,64,57,62,0,1
S3308,87,87,82,0,1
S3309,46,40,35,8,0
S3310,47,40,29,4,0
S3311,72,71,66,7,1
S3312,79,75,79,7,1
S3313,74,70,66,3,1
S3314,44,43,35,7,0
S3315,56,56,37,4,0
S3316,49,43,44,4,0
S3317,60,56,59,5,0
S3318,43,39,28,5,0
S3319,100,93,81,5,1
S3320,64,54,49,2,1
S3321,97,87,82,6,1
S3322,49,41,41,2,0
S3323,45,45,43,6,0
S3324,43,43,23,4,0
S3325,99,93,87,6,1
S3326,40,37,28,0,0
S3327,96,87,86,4,1
S3328,74,68,67,2,1
S3329,70,69,55,2,1
S3330,78,72,61,3,1
S3331,89,81,73,7,1
S3332,70,63,50,8,1
S3333,81,79,81,7,1
S3334,59,59,42,6,0
S3335,72,64,62,5,1
S3336,62,58,54,1,1
S3337,68,68,49,6,1
S3338,96,90,96,3,1
S3339,75,75,75,3,1
S3340,48,39,38,5,0
S3341,98,97,82,5,1
S3342,47,46,38,1,0
S3343,61,59,46,4,1
S3344,44,44,25,2,0
S3345,57,49,55,2,0
S3346,88,85,73,7,1
S3347,54,44,37,7,0
S3348,80,77,79,2,1
S3349,80,75,63,8,1
S3350,58,53,42,6,0
S3351,85,78,68,7,1
S3352,80,73,78,3,1
S3353,74,69,73,3,1
S3354,97,89,91,7,1
S3355,42,37,28,7,0
S3356,58,57,40,8,0
S3357,94,84,92,1,1
S3358,58,51,58,6,0
S3359,91,82,91,3,1
S3360,78,74,63,8,1
S3361,66,66,60,2,1
S3362,53,48,51,2,0
S3363,92,82,91,4,1
S3364,95,90,83,4,1
S3365,91,91,75,1,1
S3366,58,48,53,5,0
S3367,51,47,43,8,0
S3368,95,90,95,4,1
S3369,92,90,90,4,1
S3370,69,64,49,8,1
S3371,41,41,36,8,0
S3372,82,79,81,0,1
S3373,76,74,75,3,1
S3374,86,84,66,2,1
S3375,73,72,56,1,1
S3376,77,73,60,3,1
S3377,88,86,70,5,1
S3378,85,80,76,0,1
S3379,68,61,63,7,1
S3380,59,55,59,0,0
S3381,96,94,76,7,1
S3382,91,90,78,3,1
S3383,75,75,55,8,1
S3384,52,46,36,5,0
S3385,48,44,32,1,0
S3386,51,42,33,4,0
S3387,46,40,42,3,0
S3388,66,66,60,3,1
S3389,83,77,71,6,1
S3390,95,89,94,0,1
S3391,51,46,49,4,0
S3392,68,67,67,2,1
S3393,99,97,87,3,1
S3394,61,51,56,3,1
S3395,56,55,55,8,0
S3396,73,68,68,7,1
S3397,85,80,77,6,1
S3398,87,80,70,4,1
S3399,99,99,97,8,1
S3400,60,53,42,4,0
S3401,55,54,55,6,0
S3402,52,49,48,8,0
S3403,59,58,56,6,0
S3404,54,51,46,3,0
S3405,68,66,59,5,1
S3406,61,54,50,7,1
S3407,73,64,71,4,1
S3408,63,63,56,1,1
S3409,86,76,66,5,1
S3410,46,41,38,7,0
S3411,96,93,81,1,1
S3412,52,52,38,3,0
S3413,80,70,64,7,1
S3414,85,79,76,5,1
S3415,74,68,68,5,1
S3416,94,88,74,1,1
S3417,56,55,41,6,0
S3418,54,44,34,6,0
S3419,60,52,44,3,0
S3420,69,63,61,2,1
S3421,49,41,40,4,0
S3422,85,82,77,2,1
S3423,83,76,63,8,1
S3424,46,46,38,1,0
S3425,80,79,62,5,1
S3426,53,45,46,4,0
S3427,96,90,92,8,1
S3428,82,76,67,0,1
S3429,56,47,46,8,0
S3430,96,93,93,1,1
S3431,60,54,46,1,0
S3432,70,62,65,1,1
S3433,69,68,50,7,1
S3434,99,93,95,1,1
S3435,78,70,78,3,1
S3436,98,88,94,4,1
S3437,43,33,26,8,0
S3438,51,49,49,8,0
S3439,47,44,39,7,0
S3440,79,78,79,5,1
S3441,56,46,42,5,0
S3442,97,95,90,6,1
S3443,40,40,34,2,0
S3444,100,96,98,2,1
S3445,44,40,33,3,0
S3446,86,83,79,7,1
S3447,64,54,47,5,1
S3448,91,89,79,1,1
S3449,92,90,91,6,1
S3450,82,81,70,8,1
S3451,94,88,84,2,1
S3452,89,85,80,6,1
S3453,91,88,79,6,1
S3454,52,43,34,0,0
S3455,52,43,38,6,0
S3456,51,51,44,6,0
S3457,50,47,38,1,0
S3458,46,38,30,1,0
S3459,76,67,73,1,1
S3460,81,76,64,5,1
S3461,61,51,57,7,1
S3462,41,41,22,1,0
S3463,69,69,68,5,1
S3464,75,74,55,1,1
S3465,79,77,63,0,1
S3466,41,40,33,3,0
S3467,89,88,83,1,1
S3468,89,88,77,5,1
S3469,45,35,31,0,0
S3470,58,50,43,6,0
S3471,77,74,76,6,1
S3472,88,88,70,1,1
S3473,87,85,68,7,1
S3474,71,67,65,8,1
S3475,63,57,60,1,1
S3476,68,62,58,0,1
S3477,91,85,88,3,1
S3478,84,80,71,7,1
S3479,84,78,79,0,1
S3480,99,98,90,6,1
S3481,67,60,57,2,1
S3482,75,73,63,7,1
S3483,57,49,38,3,0
S3484,86,82,82,6,1
S3485,57,56,50,5,0
S3486,47,37,42,3,0
S3487,58,51,38,4,0
S3488,89,87,88,5,1
S3489,73,63,68,7,1
S3490,41,40,34,1,0
S3491,64,62,56,5,1
S3492,56,50,42,6,0
S3493,42,37,42,4,0
S3494,65,61,48,4,1
S3495,51,43,37,7,0
S3496,71,68,62,5,1
S3497,57,54,56,4,0
S3498,92,88,84,6,1
S3499,53,43,53,6,0
S3500,84,77,75,4,1
S3501,79,69,60,2,1
S3502,81,78,71,6,1
S3503,85,78,84,8,1
S3504,59,50,43,2,0
S3505,48,41,32,7,0
S3506,81,81,75,7,1
S3507,83,74,67,6,1
S3508,90,89,86,6,1
S3509,69,62,54,2,1
S3510,42,33,36,7,0
S3511,51,51,38,8,0
